order_number,avg_mean_log_popularity,avg_ultra_popular_share,n_user_orders
1,8.6152943447761,0.39991259625413167,206209
2,8.619850496168157,0.4005426037693742,206209
3,8.625904293754514,0.4011587081546909,206209
4,8.644169144597878,0.4045025598156825,182223
5,8.663746288323651,0.4086127433233497,162633
6,8.673351916470988,0.40942924738765146,146468
7,8.691595969071768,0.4140165083550091,132618
8,8.702151834027129,0.4146611853058804,120918
9,8.716450759589952,0.41823367469308287,110728
10,8.727898427111441,0.42037817795105914,101696
11,8.738335962549694,0.4219532129978188,93881
12,8.741716166674554,0.4235358234695533,86929
13,8.75535448218139,0.42525952474680534,80693
14,8.761660213460152,0.42708359161631493,75080
15,8.771765793889175,0.4290795208155711,69889
16,8.779117142395963,0.42960365814074086,65296
17,8.787735952574499,0.43148365973446634,61157
18,8.802015077779531,0.4353954386446666,57321
19,8.805099866960944,0.4365551352238145,53931
20,8.808615986853011,0.43517018806659385,50731
