order_number,avg_hhi
1,0.2002030732020773
2,0.20424905739438945
3,0.20468229769829482
4,0.20353526117546797
5,0.20179570673700367
6,0.20089203386206894
7,0.1996837058259223
8,0.19864537998997212
9,0.19693259063524654
10,0.19662530170220388
11,0.19571054884006536
12,0.19571096283610745
13,0.1933275652864614
14,0.19450496290055663
15,0.19425017989413304
16,0.19393056875766226
17,0.19284164522889977
18,0.1919583339188907
19,0.19127551806002338
20,0.19190583643400885
21,0.19069229743114746
22,0.18993467054380017
23,0.18928101461744684
24,0.18919469262214508
25,0.18807378859515314
26,0.1859293403520755
27,0.18773585772565923
28,0.18650700634477255
29,0.1866587326508036
30,0.18699780071653635
31,0.18508824337828964
32,0.18351819040253195
33,0.18441485514991643
34,0.18445422096845557
35,0.18409338403375944
36,0.1869823058932846
37,0.18510212825765665
38,0.18557236962301377
39,0.18324101801364037
40,0.184661650136225
41,0.18327272822657747
42,0.18255474564913582
43,0.18052356606373898
44,0.18568476999022288
45,0.18440571239839415
46,0.18538627325132653
47,0.18675830640784255
48,0.1845058237153392
49,0.1815749471149064
50,0.1830616046886989
51,0.18664661519228595
52,0.18693947451625748
53,0.18451587073317188
54,0.18625446768245452
55,0.18499039371433038
56,0.1873787307477139
57,0.19114696783048526
58,0.18947602345741063
59,0.19143021848621716
60,0.19217110218294264
61,0.18712013139425712
62,0.18979438097320905
63,0.19113724621877676
64,0.1898437060454569
65,0.1925488292500658
66,0.1932241329394604
67,0.19124062242382076
68,0.18819752579119223
69,0.1932462809653379
70,0.18851737070773247
71,0.19411965013029917
72,0.1946894090602042
73,0.1918680285748804
74,0.1949982901640794
75,0.19350293394379034
76,0.19446566111554395
77,0.19621029191617856
78,0.1953385878217804
79,0.19080888617689942
80,0.1948317527406696
81,0.19446443744404837
82,0.19616478209139285
83,0.1939557974294288
84,0.19406008207711323
85,0.19130757046764835
86,0.20348727213390047
87,0.19457183076386156
88,0.20424479875377013
89,0.20195901439687228
90,0.20114369416821087
91,0.19621790240928397
92,0.2068875591984697
93,0.20284763836435754
94,0.19786568631470272
95,0.20346256957021525
96,0.19575239861515562
97,0.19626123180725055
98,0.1989119300958657
99,0.20692645956268135
