order_number,avg_mean_log_popularity,avg_ultra_popular_share,n_user_orders
1,8.617168738541112,0.39991259625413167,206209
2,8.621697944207654,0.4005426037693742,206209
3,8.62773192699355,0.4011587081546909,206209
4,8.645945122844637,0.4045025598156825,182223
5,8.66548555173578,0.4086127433233497,162633
6,8.675064504036648,0.40942924738765146,146468
7,8.69327137163536,0.4140165083550091,132618
8,8.703767189591286,0.4146611853058804,120918
9,8.718061331684606,0.41823367469308287,110728
10,8.729512018046194,0.42037817795105914,101696
11,8.739899650809877,0.4219532129978188,93881
12,8.743272347770828,0.4235358234695533,86929
13,8.756902133357647,0.42525952474680534,80693
14,8.763180827301007,0.42708359161631493,75080
15,8.773270515928774,0.4290795208155711,69889
16,8.780616347745543,0.42960365814074086,65296
17,8.789225255635897,0.43148365973446634,61157
18,8.80346826943871,0.4353954386446666,57321
19,8.806554902279057,0.4365551352238145,53931
20,8.810053361966393,0.43517018806659385,50731
21,8.816913525549776,0.4375768973941657,47810
22,8.832903867382981,0.4411904350563516,45104
23,8.843049430644388,0.4426940652779028,42499
24,8.840365142628507,0.44168262767174726,40211
25,8.835780532048346,0.4418807768375871,38025
26,8.84883882892346,0.4434238739578429,35965
27,8.858533765860575,0.44551022219264835,34057
28,8.86684499122763,0.4463949404154645,32278
29,8.872307744054947,0.44985760588138773,30677
30,8.8710469267531,0.4497152829495177,29183
31,8.883064733487611,0.45042951370287343,27709
32,8.882100105855011,0.4517655342407309,26323
33,8.894606521489964,0.4539229042918386,25050
34,8.896999239130686,0.45317789619041127,23864
35,8.894981576804229,0.4547706628198985,22707
36,8.90316626401907,0.4550667713723363,21692
37,8.906143053509583,0.4548150297308189,20644
38,8.904686047618597,0.4564930689222801,19684
39,8.90494060175103,0.4554921272837133,18780
40,8.920965458645151,0.45871061583919137,17902
41,8.923491997129425,0.45987124493201786,17017
42,8.919298544173175,0.4598712493745025,16203
43,8.92839697564139,0.4607920749343564,15460
44,8.92405510688992,0.45938394449270925,14736
45,8.924823681774916,0.4610589754793098,14029
46,8.93547729544208,0.46376196406900777,13372
47,8.94577529294865,0.46627126748377545,12697
48,8.93425909362022,0.46251190553491894,12043
49,8.944444147322079,0.46209153508104694,11464
50,8.928626919272013,0.4607084125673629,10910
51,8.930296101582769,0.46076296677958384,10328
52,8.940745211668471,0.46190292507276154,9801
53,8.925331912311805,0.4607882634885234,9277
54,8.941353046981266,0.4632563554355031,8778
55,8.944696251995968,0.4666872181517023,8353
56,8.92842827617363,0.4621731974731845,7963
57,8.927887290594146,0.46116505206683656,7567
58,8.947763951609405,0.4633297595041496,7224
59,8.93407176432946,0.4628813037481844,6892
60,8.93632346305904,0.45940538451231533,6589
61,8.942484285731373,0.4654189265635379,6265
62,8.948303687811231,0.46775672794768847,5989
63,8.949444443314315,0.4643047243909366,5722
64,8.954467259322364,0.46591928781782305,5468
65,8.951741022309177,0.4670464104924185,5229
66,8.958724297591301,0.4683431961534755,4991
67,8.947898989076945,0.464974879778704,4787
68,8.966576171952783,0.4678706014518247,4598
69,8.960879572697186,0.472604482471441,4413
70,8.926968529983643,0.46188485599713436,4235
71,8.939782694978087,0.4643431183931505,4081
72,8.969341778353746,0.4713032353194384,3915
73,8.962592933935106,0.4690715519926742,3777
74,8.94895694339768,0.46417779391406905,3615
75,8.974849931205318,0.47455451758697187,3453
76,8.939369261541572,0.4695434059156093,3319
77,8.974901868752521,0.47258236233115175,3199
78,8.934317077461511,0.4656441129604411,3072
79,8.954654646733415,0.47223553489164866,2945
80,8.96948789042934,0.4701709152950241,2829
81,8.97118979101238,0.4761998479976353,2721
82,8.945121546934066,0.46638122022626394,2602
83,8.979593718188827,0.47836969228518156,2516
84,8.928401822944771,0.4649541781003877,2417
85,8.964333318238818,0.4730035639274883,2317
86,8.948904825683165,0.4695659314470243,2224
87,8.99769914825153,0.4869068540516391,2146
88,8.991667753264826,0.4794488503464486,2067
89,8.981574050392851,0.47836457524587433,1990
90,8.982197034817563,0.47814353869413007,1905
91,8.98670102594011,0.47949484328284536,1849
92,8.958430884672458,0.4761662727221884,1780
93,8.981746077005871,0.4807236149316001,1713
94,8.959838933430909,0.4779158999189109,1656
95,8.945179347729223,0.4755207862940743,1592
96,8.981705765639424,0.4789850809669895,1525
97,8.987239938417531,0.4775220429515131,1471
98,8.93319550935625,0.46604951850261195,1421
99,8.92213969303999,0.4609224380988689,1374
